Number,Portfolio,Commonwealth body name ,Type of body ,Accountable authority or governing board ,Economic sector,AITS_LInk
1,"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry",Non-corporate Commonwealth entity ,"Secretary of the Department – Public Governance, Performance and Accountability Act 2013 section 12(2) item 1 ",General Govt Sector ,https://www.agriculture.gov.au/about/reporting/obligations/AI-transparency-statement
2,"Agriculture, Fisheries and Forestry",Australian Fisheries Management Authority,Non-corporate Commonwealth entity ,Chief Executive Officer – Fisheries Administration Act 1991 section 5A(b) ,General Govt Sector ,https://www.afma.gov.au/reporting-and-accountability/artificial-intelligence-transparency-statement
3,Attorney-General,Attorney-General’s Department ,Non-corporate Commonwealth entity ,"Secretary of the Department – Public Governance, Performance and Accountability Act 2013 section 12(2) item 1 ",General Govt Sector ,https://www.ag.gov.au/about-us/accountability-and-reporting/attorney-generals-department-artificial-intelligence-transparency-statement
4,Attorney-General,Administrative Review Tribunal ,Non-corporate Commonwealth entity ,Principal Registrar – Administrative Review Tribunal Act 2024 section 241(c) ,General Govt Sector ,https://www.art.gov.au/ai-transparency-statement
5,Attorney-General,Australian Law Reform Commission ,Non-corporate Commonwealth entity ,President – Australian Law Reform Commission Act 1996 section 5(2)(b) ,General Govt Sector ,https://www.alrc.gov.au/about/corporate-information/ai-transparency-statement/
6,Attorney-General,Federal Court of Australia ,Non-corporate Commonwealth entity ,Chief Executive Officer – Federal Court of Australia Act 1976 section 18ZB(c) ,General Govt Sector ,https://www.fedcourt.gov.au/about/corporate-information/ai-statement
7,Attorney-General,National Anti-Corruption Commission ,Non-corporate Commonwealth entity ,Chief Executive Officer – National Anti-Corruption Commission Act 2022 section 20(2) ,General Govt Sector ,https://www.nacc.gov.au/ai-transparency-statement
8,Attorney-General,Office of the Australian Information Commissioner ,Non-corporate Commonwealth entity ,Information Commissioner – Australian Information Commissioner Act 2010 section 5(4)(b) ,General Govt Sector ,https://www.oaic.gov.au/about-the-OAIC/our-corporate-information/oaic-ai-transparency-statement
9,Attorney-General,Office of the Commonwealth Ombudsman ,Non-corporate Commonwealth entity ,Commonwealth Ombudsman – Ombudsman Act 1976 section 4A(c) ,General Govt Sector ,https://www.ombudsman.gov.au/about/ai-transparency-statement
10,Attorney-General,Office of the Director of Public Prosecutions (CDPP) ,Non-corporate Commonwealth entity ,Director – Director of Public Prosecutions Act 1983 section 5(5)(b) ,General Govt Sector ,https://www.cdpp.gov.au/about-us/ai-transparency-statement
11,Attorney-General,Office of the Inspector-General of Intelligence and Security ,Non-corporate Commonwealth entity ,Inspector-General – Inspector-General of Intelligence and Security Act 1986 section 6AA(c) ,General Govt Sector ,https://www.igis.gov.au/sites/default/files/2025-02/OIGIS%20Use%20of%20Artificial%20Intelligence%20%28AI%29%20Transparency%20Statement.pdf
12,Attorney-General,Office of Parliamentary Counsel ,Non-corporate Commonwealth entity ,First Parliamentary Counsel – Parliamentary Counsel Act 1970 section 2(5)(b) ,General Govt Sector ,https://www.opc.gov.au/node/238
13,Attorney-General,Office of the Special Investigator ,Non-corporate Commonwealth entity ,"Director-General – Public Governance, Performance and Accountability Rule 2014 schedule 1 item 18 ",General Govt Sector ,https://www.osi.gov.au/policy-responsible-use-ai-government-ai-transparency-statement
14,"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water ",Non-corporate Commonwealth entity ,"Secretary of the Department – Public Governance, Performance and Accountability Act 2013 section 12(2) item 1 ",General Govt Sector ,https://www.dcceew.gov.au/about/commitment/information-public-data/ai-transparency-statement
15,"Climate Change, Energy, the Environment and Water",Clean Energy Regulator ,Non-corporate Commonwealth entity ,Chair of the Regulator – Clean Energy Regulator Act 2011 section 11(2)(b) ,General Govt Sector ,https://cer.gov.au/about-us/our-policies/artificial-intelligence-transparency-statement
16,"Climate Change, Energy, the Environment and Water",Climate Change Authority ,Non-corporate Commonwealth entity ,Chief Executive Officer – Climate Change Authority Act 2011 section 10(2)(b) ,General Govt Sector ,https://www.climatechangeauthority.gov.au/artificial-intelligence-transparency-statement
17,"Climate Change, Energy, the Environment and Water",Great Barrier Reef Marine Park Authority ,Non-corporate Commonwealth entity ,Chief Executive Officer – Great Barrier Reef Marine Park Act 1975 section 6(2)(b) ,General Govt Sector ,https://www2.gbrmpa.gov.au/artificial-intelligence-ai-transparency-statement
19,"Climate Change, Energy, the Environment and Water",Murray-Darling Basin Authority ,Corporate Commonwealth entity ,Chief Executive of the Authority – Water Act 2007 section 208A ,General Govt Sector ,https://www.mdba.gov.au/about-us/accountability-and-reporting/ai-transparency-statement
21,Education ,Department of Education ,Non-corporate Commonwealth entity ,"Secretary of the Department – Public Governance, Performance and Accountability Act 2013 section 12(2) item 1 ",General Govt Sector ,https://www.education.gov.au/about-department/corporate-reporting/artificial-intelligence-ai-transparency-statement
22,Education ,Australian Research Council ,Non-corporate Commonwealth entity ,Board – Australian Research Council Act 2001 section 5(3)(b) ,General Govt Sector ,https://www.arc.gov.au/about-arc/arc-strategies-and-policies/ai-transparency
23,Education ,Tertiary Education Quality and Standards Agency ,Non-corporate Commonwealth entity ,The Commissioners – Tertiary Education Quality and Standards Agency Act 2011 section 132(3)(b) ,General Govt Sector ,https://www.teqsa.gov.au/about-us/reporting-and-accountability/ai-transparency-statement
24,Employment and Workplace Relations ,Department of Employment and Workplace Relations ,Non-corporate Commonwealth entity ,"Secretary of the Department – Public Governance, Performance and Accountability Act 2013 section 12(2) item 1 ",General Govt Sector ,https://www.dewr.gov.au/about-department/corporate-reporting/dewr-ai-transparency-statement
25,Employment and Workplace Relations ,Asbestos and Silica Safety and Eradication Agency ,Non-corporate Commonwealth entity ,Chief Executive Officer – Asbestos and Silica Safety and Eradication Agency Act 2013 section 41F(c) ,General Govt Sector ,https://www.asbestossafety.gov.au/ai-transparency-statement
26,Employment and Workplace Relations ,Australian Skills Quality Authority (National Vocational Education and Training Regulator) ,Non-corporate Commonwealth entity ,National VET Regulator – National Vocational Education and Training Regulator Act 2011 section 173(c) ,General Govt Sector ,https://www.asqa.gov.au/about-us/reporting-and-accountability/artificial-intelligence-ai-transparency-statement
27,Employment and Workplace Relations ,Fair Work Commission ,Non-corporate Commonwealth entity ,General Manager – Fair Work Act 2009 section 673A(c) ,General Govt Sector ,https://www.fwc.gov.au/about-us/artificial-intelligence-transparency-statement
28,Employment and Workplace Relations ,Safe Work Australia ,Non-corporate Commonwealth entity ,Chief Executive Officer – Safe Work Australia Act 2008 section 5(2)(b) ,General Govt Sector ,https://www.safeworkaustralia.gov.au/about-us/corporate-publications-and-resources/ai-transparency-statement
29,Employment and Workplace Relations ,"Seafarers Safety, Rehabilitation and Compensation Authority (Seacare Authority) ",Non-corporate Commonwealth entity ,"Chairperson of the Authority – Public Governance, Performance and Accountability Rule 2014 schedule 1 item 21(b) ",General Govt Sector ,https://www.seacare.gov.au/about-us/forms-and-publications/documents/publications/corporate-publications/ai-transparency-statement
30,Employment and Workplace Relations ,Comcare ,Corporate Commonwealth entity ,"Chief Executive Officer – Safety, Rehabilitation and Compensation Act 1988 section 76(1) note ",General Govt Sector ,https://www.comcare.gov.au/about/forms-pubs/docs/pubs/corporate-publications/ai-transparency-statement
31,Finance ,Department of Finance ,Non-corporate Commonwealth entity ,"Secretary of the Department – Public Governance, Performance and Accountability Act 2013 section 12(2) item 1 ",General Govt Sector ,https://www.finance.gov.au/about-us/artificial-intelligence-ai-transparency-statement
32,Finance ,Australian Electoral Commission ,Non-corporate Commonwealth entity ,Electoral Commissioner – Commonwealth Electoral Act 1918 section 6(2A)(b) ,General Govt Sector ,https://www.aec.gov.au/About_AEC/Publications/files/AI-transparency-statement-AEC-(10-February-2025).pdf
33,Finance ,Digital Transformation Agency ,Non-corporate Commonwealth entity ,"Chief Executive Officer – Public Governance, Performance and Accountability Rule 2014 schedule 1 item 10(c) ",General Govt Sector ,https://www.dta.gov.au/ai-transparency-statement
34,Finance ,Future Fund Management Agency ,Non-corporate Commonwealth entity ,Chair of the Future Fund Board of Guardians – Future Fund Act 2006 section 74(3)(b) ,General Govt Sector ,https://www.futurefund.gov.au/en/About-us/access-to-information/parliamentary-and-statutory-reporting
35,Finance ,Independent Parliamentary Expenses Authority ,Non-corporate Commonwealth entity ,Chief Executive Officer – Independent Parliamentary Expenses Authority Act 2017 section 11(2)(b) with reference to section 24 (membership section 15) ,General Govt Sector ,https://www.ipea.gov.au/about-ipea/accountability/ipea-artificial-intelligence-ai-transparency-statement
36,Finance ,Parliamentary Workplace Support Service ,Non-corporate Commonwealth entity ,Chief Executive Officer – Parliamentary Workplace Support Service Act 2023 section 12(3)(b).12(3)(b). ,General Govt Sector ,https://www.pwss.gov.au/sites/default/files/PWSS%20AI%20Transparency%20Statement%20-%20FINAL%20260225.pdf
37,Finance ,Services Australia ,Non-corporate Commonwealth entity ,"Chief Executive Officer – Public Governance, Performance and Accountability Rule 2014 schedule 1 item 22(c) ",General Govt Sector ,https://www.servicesaustralia.gov.au/automation-and-artificial-intelligence-transparency-statement?context=22
38,Foreign Affairs and Trade ,Department of Foreign Affairs and Trade ,Non-corporate Commonwealth entity ,"Secretary of the Department – Public Governance, Performance and Accountability Act 2013 section 12(2) item 1 ",General Govt Sector ,https://www.dfat.gov.au/about-us/corporate/artificial-intelligence-ai-transparency-statement
39,Foreign Affairs and Trade ,Australian Centre for International Agricultural Research (ACIAR) ,Non-corporate Commonwealth entity ,Chief Executive Officer – Australian Centre for International Agricultural Research Act 1982 section 32A(c) ,General Govt Sector ,https://www.aciar.gov.au/artificial-intelligence
40,Foreign Affairs and Trade ,Australian Trade and Investment Commission (Austrade) ,Non-corporate Commonwealth entity ,Chief Executive Officer – Australian Trade and Investment Commission Act 1985 section 7(3)(b) ,General Govt Sector ,https://www.austrade.gov.au/en/site-information/ai-transparency
41,"Health, Disability and Ageing ","Department of Health, Disability and Ageing ",Non-corporate Commonwealth entity ,"Secretary of the Department – Public Governance, Performance and Accountability Act 2013 section 12(2) item 1 ",General Govt Sector ,https://www.health.gov.au/about-us/corporate-reporting/our-commitments/ai-transparency-statement
42,"Health, Disability and Ageing ",Aged Care Quality and Safety Commission ,Non-corporate Commonwealth entity ,Commissioner – Aged Care Quality and Safety Commission Act 2018 section 11(2)(b) ,General Govt Sector ,https://www.agedcarequality.gov.au/sites/default/files/media/acqsc_ai_transparency_statement.pdf
43,"Health, Disability and Ageing ",Australian Radiation Protection and Nuclear Safety Agency (ARPANSA) ,Non-corporate Commonwealth entity ,Chief Executive Officer – Australian Radiation Protection and Nuclear Safety Act 1998 section 14A(b) ,General Govt Sector ,https://www.arpansa.gov.au/about-us/corporate-publications/arpansas-artificial-intelligence-transparency-statement
